Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
662,2371,befragen,befrage,,befragst,,befragt,befragte,,befragt,,befragte,,befrag,befrage,,befragt,,haben,,,,,,
663,2358,ertrinken,ertrinke,,ertrinkst,,ertrinkt,ertrank,,ertrunken,,ertränke,,ertrinke,ertrink,,ertrinkt,,sein,,,,,,
664,2354,zurücklassen,lasse zurück,,lässt zurück,,lässt zurück,ließ zurück,,zurückgelassen,,ließe zurück,,lass zurück,lasse zurück,,lasst zurück,,haben,,,,,,
665,2335,auslösen,löse aus,,löst aus,,löst aus,löste aus,,ausgelöst,,löste aus,,löse aus,,,löst aus,,haben,,,,,,
666,2326,vergiften,vergifte,,vergiftest,,vergiftet,vergiftete,,vergiftet,,vergiftete,,vergift,vergifte,,vergiftet,,haben,,,,,,
667,2320,beteiligen,beteilige,,beteiligst,,beteiligt,beteiligte,,beteiligt,,beteiligte,,beteilige,,,beteiligt,,haben,,,,,,
668,2319,strecken,strecke,,streckst,,streckt,streckte,,gestreckt,,streckte,,streck,,,streckt,,haben,,,,,,
669,2309,aussprechen,spreche aus,,sprichst aus,,spricht aus,sprach aus,,ausgesprochen,,spräche aus,,sprich aus,,,sprecht aus,,haben,,,,,,
670,2307,regnen,—,,—,,regnet,regnete,,geregnet,,regnete,,—,,,—,,haben,,,,,,
671,2304,vorgehen,gehe vor,,gehst vor,,geht vor,ging vor,,vorgegangen,,ginge vor,,geh vor,,,geht vor,,sein,,,,,,
672,2291,ausruhen,ruhe aus,,ruhst aus,,ruht aus,ruhte aus,,ausgeruht,,ruhte aus,,ruh aus,ruhe aus,,ruht aus,,haben,,,,,,
673,2273,verhandeln,verhandele,verhandle,verhandelst,,verhandelt,verhandelte,,verhandelt,,verhandelte,,verhandele,verhandel,,verhandelt,,haben,,,,,,
674,2263,abmachen,mache ab,mach ab,machst ab,,macht ab,machte ab,,abgemacht,,machte ab,,mache ab,mach ab,,macht ab,,haben,,,,,,
675,2259,russen,russe,,russt,,russt,russte,,gerusst,,russte,,russ,russe,,russt,,haben,,,,,,
676,2258,weigern,weigere,,weigerst,,weigert,weigerte,,geweigert,,weigerte,,weiger,,,weigert,,haben,,,,,,
677,2253,schleichen,schleiche,,schleichst,,schleicht,schlich,,geschlichen,,schliche,,schleiche,schleich,,schleicht,,sein,,,,,,
678,2229,bedienen,bediene,,bedienst,,bedient,bediente,,bedient,,bediente,,bedien,bediene,,bedient,,haben,,,,,,
679,2227,spannen,spanne,,spannst,,spannt,spannte,,gespannt,,spannte,,spanne,,,spannt,,haben,,,,,,
680,2225,bergen,berge,,birgst,,birgt,barg,,geborgen,,bärge,,birg,,,bergt,,haben,,,,,,
681,2217,vermögen,vermag,,vermagst,,vermag,vermochte,,vermocht,,vermöchte,,vermöge,,,vermöget,,haben,,,,,,
682,2215,beherrschen,beherrsche,,beherrschst,beherrscht,beherrscht,beherrschte,,beherrscht,,beherrschte,,beherrsche,beherrsch,,beherrscht,,haben,,,,,,
683,2212,überfallen,überfalle,,überfällst,,überfällt,überfiel,,überfallen,,überfiele,,überfall,überfalle,,überfallt,,haben,,,,,,
684,2211,osten,oste,,ostest,,ostet,ostete,,geostet,,ostete,,ost,oste,,ostet,,haben,,,,,,
685,2202,rächen,räche,,rächst,,rächt,rächte,,gerächt,,rächte,,räche,räch,,rächt,,haben,,,,,,
686,2202,verschaffen,verschaffe,,verschaffst,,verschafft,verschaffte,,verschafft,,verschaffte,,verschaff,verschaffe,,verschafft,,haben,,,,,,
687,2200,vermeiden,vermeide,,vermeidest,,vermeidet,vermied,,vermieden,,vermiede,,vermeide,,,vermeidet,,haben,,,,,,
688,2197,verärgern,verärgere,,verärgerst,,verärgert,verärgerte,,verärgert,,verärgerte,,verärger,verärgere,,verärgert,,haben,,,,,,
689,2193,ablenken,lenke ab,,lenkst ab,,lenkt ab,lenkte ab,,abgelenkt,,lenkte ab,,lenk ab,,,lenkt ab,,haben,,,,,,
690,2190,langweilen,langweile,,langweilst,,langweilt,langweilte,,gelangweilt,,langweilte,,langweil,langweile,,langweilt,,haben,,,,,,
691,2188,vereinigen,vereinige,,vereinigst,,vereinigt,vereinigte,,vereinigt,,vereinigte,,vereinige,,,vereinigt,,haben,,,,,,
692,2186,verlegen,verlege,,verlegst,,verlegt,verlegte,,verlegt,,verlegte,,verlege,,,verlegt,,haben,,,,,,
693,2178,füttern,füttere,,fütterst,,füttert,fütterte,,gefüttert,,fütterte,,füttere,,,füttert,,haben,,,,,,
694,2177,zeichnen,zeichne,,zeichnest,,zeichnet,zeichnete,,gezeichnet,,zeichnete,,zeichne,,,zeichnet,,haben,,,,,,
695,2174,umlegen,lege um,,legst um,,legt um,legte um,,umgelegt,,legte um,,leg um,lege um,,legt um,,haben,,,,,,
696,2169,verdenken,verdenke,,verdenkst,,verdenkt,verdachte,,verdacht,,verdächte,,verdenk,verdenke,,verdenkt,,haben,,,,,,
697,2160,faszinieren,fasziniere,,faszinierst,,fasziniert,faszinierte,,fasziniert,,faszinierte,,fasziniere,faszinier,,fasziniert,,haben,,,,,,
698,2153,zerbrechen,zerbreche,,zerbrichst,,zerbricht,zerbrach,,zerbrochen,,zerbräche,,zerbrich,,,zerbrecht,,haben,,,,,,
699,2143,rollen,rolle,,rollst,,rollt,rollte,,gerollt,,rollte,,roll,rolle,,rollt,,haben,sein,,,,,
700,2140,spenden,spende,,spendest,,spendet,spendete,,gespendet,,spendete,,spende,,,spendet,,haben,,,,,,
701,2127,ärgern,ärgere,,ärgerst,,ärgert,ärgerte,,geärgert,,ärgerte,,ärgere,,,ärgert,,haben,,,,,,
702,2126,zurückgeben,gebe zurück,,gibst zurück,,gibt zurück,gab zurück,,zurückgegeben,,gäbe zurück,,gib zurück,,,gebt zurück,,haben,,,,,,
703,2120,pinkeln,pinkle,pinkele,pinkelst,,pinkelt,pinkelte,,gepinkelt,,pinkelte,,pinkele,pinkel,,pinkelt,,haben,,,Bruxelles Manneken Pis cropped.jpg|thumb|1|Manneken Pis in Brüssel,Pinkeln verboten (Berlin).jpg|thumb|1|''Pinkeln''-verboten-Schild,,
704,2119,nützen,nütze,,nützt,,nützt,nützte,,genützt,,nützte,,nütze,,,nützt,,haben,,,,,,
